repo_code	file_id	object_id	file_format	file_name	file_size	md5_sum	index_object_id	donor_id/donor_count	project_id/project_count	study
aws-virginia	FI206841	5b12197b-2a04-5cf6-8623-c0af2c2d4d02	BAM	PCAWG.7791f926-e204-11e4-a8e5-507b8d07f9f4.STAR.v1.bam	9811368231	4eaa7bf07f1e607cbfae4300804496b6	541e9c24-297f-5080-bddc-c35dbfe92b05	DO23517	LIRI-JP	PCAWG
aws-virginia	FI200951	ae0fe6a4-88d0-594e-ae18-ceeb08309ccd	BAM	PCAWG.2cea0220-e1fe-11e4-80d6-9672ba4f2a7a.STAR.v1.bam	11083433811	e619e7c49c80d0ccb108bd900efd8a14	9442f508-ecdc-545f-8972-9c4b2610e2c4	DO45225	LIRI-JP	PCAWG
